Sketch: C:\Users\ìSòN\OneDrive\ëÂäw\2014å„ä˙\èÓïÒï\åªäÓëb\pitagora_othero, 2015-01-20 15:12:28.944
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
InvalidCharacterConstant,{},Invalid character constant
InvalidDigit,{},Invalid digit (valid ones are 0..9)
UnterminatedString,{},String literal is not properly closed by a double-quote
ParsingError,{!=| (},Syntax error on token "!="^ ( expected
ParsingErrorInvalidToken,{!=| (},Syntax error on token "!="^ invalid (
ParsingErrorInvalidToken,{&&| (},Syntax error on token "&&"^ invalid (
ParsingError,{)| ++},Syntax error on token ")"^ ++ expected
ParsingError,{)| ;},Syntax error on token ")"^ ; expected
ParsingErrorInsertTokenAfter,{)| {},Syntax error on token ")"^ { expected after this token
ParsingErrorDeleteToken,{,},Syntax error on token "^"^ delete this token
ParsingError,{/| (},Syntax error on token "/"^ ( expected
ParsingErrorDeleteToken,{;},Syntax error on token ";"^ delete this token
ParsingErrorInsertTokenAfter,{=| VariableInitializer},Syntax error on token "="^ VariableInitializer expected after this token
ParsingErrorInvalidToken,{==| AssignmentOperator},Syntax error on token "=="^ invalid AssignmentOperator
ParsingErrorDeleteToken,{TR},Syntax error on token "TR"^ delete this token
ParsingErrorDeleteToken,{float},Syntax error on token "float"^ delete this token
ParsingErrorInvalidToken,{if| AnnotationName},Syntax error on token "if"^ invalid AnnotationName
ParsingErrorDeleteToken,{void},Syntax error on token "void"^ delete this token
ParsingErrorDeleteToken,{}},Syntax error on token "}"^ delete this token
ParsingErrorReplaceTokens,{AnnotationName},Syntax error on tokens^ AnnotationName expected instead
ParsingErrorDeleteTokens,{},Syntax error on tokens^ delete these tokens
ParsingErrorInsertToComplete,{)| MethodDeclaration},Syntax error^ insert ")" to complete MethodDeclaration
ParsingErrorInsertToComplete,{;| ConstructorDeclaration},Syntax error^ insert ";" to complete ConstructorDeclaration
ParsingErrorInsertToComplete,{;| FieldDeclaration},Syntax error^ insert ";" to complete FieldDeclaration
ParsingErrorInsertToComplete,{;| LocalVariableDeclarationStatement},Syntax error^ insert ";" to complete LocalVariableDeclarationStatement
ParsingErrorInsertToComplete,{;| Statement},Syntax error^ insert ";" to complete Statement
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Assignment},Syntax error^ insert "AssignmentOperator Expression" to complete Assignment
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Expression},Syntax error^ insert "AssignmentOperator Expression" to complete Expression
ParsingErrorInsertToComplete,{Type VariableDeclaratorId| FormalParameter},Syntax error^ insert "Type VariableDeclaratorId" to complete FormalParameter
ParsingErrorInsertToComplete,{else Statement| IfStatement},Syntax error^ insert "else Statement" to complete IfStatement
ParsingErrorInsertToComplete,{}| BlockStatements},Syntax error^ insert "}" to complete BlockStatements
ParsingErrorInsertToComplete,{}| ClassBody},Syntax error^ insert "}" to complete ClassBody
ParsingErrorInsertToComplete,{}| MethodBody},Syntax error^ insert "}" to complete MethodBody
ParsingErrorInsertToComplete,{}| Statement},Syntax error^ insert "}" to complete Statement
ParameterMismatch,{processing.core.PApplet| background| int| },The method background(int) in the type PApplet is not applicable for the arguments ()
UndefinedMethod,{pitagora_othero.pitagora_othero| t| java.lang.String, int, int},The method t(String^ int^ int) is undefined for the type pitagora_othero
InvalidBreak,{},break cannot be used outside of a loop or a switch
UnresolvedVariable,{idth},idth cannot be resolved to a variable
UnresolvedVariable,{wi},wi cannot be resolved to a variable
